SEF	1.0.0
ID	Zurich_Horner
Name	Zürich
Lat	47.37161
Lon	8.53835
Alt	420
Source	GCOS
Link	
Vbl	ta
Stat	mean
Units	C
Meta	Observer=Horner | Address=Haus zum Mühlestein|QC software=dataresqc v1.1.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1823	6	NA	NA	NA	month	NA	
1823	7	NA	NA	NA	month	NA	
1823	8	NA	NA	NA	month	NA	
1823	9	NA	NA	NA	month	14	
1823	10	NA	NA	NA	month	NA	
1825	6	NA	NA	NA	month	NA	
1825	7	NA	NA	NA	month	NA	
1827	1	NA	NA	NA	month	-1.1	
1827	2	NA	NA	NA	month	-2.7	
1827	3	NA	NA	NA	month	5.6	
1827	4	NA	NA	NA	month	10.1	
1827	5	NA	NA	NA	month	15.2	
1827	6	NA	NA	NA	month	16	
1827	7	NA	NA	NA	month	20.2	
1827	8	NA	NA	NA	month	16.4	
1827	9	NA	NA	NA	month	14.2	
1827	10	NA	NA	NA	month	10.2	
1827	11	NA	NA	NA	month	1.5	
1827	12	NA	NA	NA	month	3.9	
1828	1	NA	NA	NA	month	1.9	
1828	2	NA	NA	NA	month	1.9	
1828	3	NA	NA	NA	month	4.8	
1828	4	NA	NA	NA	month	NA	
1828	5	NA	NA	NA	month	NA	
1828	6	NA	NA	NA	month	17.3	
1828	7	NA	NA	NA	month	18	
1828	8	NA	NA	NA	month	15.9	
1828	9	NA	NA	NA	month	14.6	
1828	10	NA	NA	NA	month	8.8	
1828	11	NA	NA	NA	month	3.6	
1828	12	NA	NA	NA	month	1.2	
1829	1	NA	NA	NA	month	-4	
1829	2	NA	NA	NA	month	-2.3	
1829	3	NA	NA	NA	month	3.9	
1829	4	NA	NA	NA	month	8.2	
1829	5	NA	NA	NA	month	12.8	
1829	6	NA	NA	NA	month	14.5	
1829	7	NA	NA	NA	month	NA	
1829	8	NA	NA	NA	month	NA	
1829	9	NA	NA	NA	month	12.5	
1829	10	NA	NA	NA	month	7.9	
1829	11	NA	NA	NA	month	2.2	
1829	12	NA	NA	NA	month	-3.6	
1830	1	NA	NA	NA	month	-7.7	
1830	2	NA	NA	NA	month	-2.8	
1830	3	NA	NA	NA	month	6.7	
1830	4	NA	NA	NA	month	10.8	
1830	5	NA	NA	NA	month	14.6	
1830	6	NA	NA	NA	month	15.3	
1830	7	NA	NA	NA	month	18.3	
1830	8	NA	NA	NA	month	17.1	
1830	9	NA	NA	NA	month	11.8	
1830	10	NA	NA	NA	month	8.3	
1830	11	NA	NA	NA	month	4.6	
1830	12	NA	NA	NA	month	-0.2	
1831	1	NA	NA	NA	month	-3.4	
1831	2	NA	NA	NA	month	1	
1831	3	NA	NA	NA	month	6.2	
1831	4	NA	NA	NA	month	10.8	
1831	5	NA	NA	NA	month	13.1	
1831	6	NA	NA	NA	month	15.2	
1831	7	NA	NA	NA	month	17.7	
1831	8	NA	NA	NA	month	17.2	
1831	9	NA	NA	NA	month	12.1	
1831	10	NA	NA	NA	month	11.9	
1831	11	NA	NA	NA	month	4.8	
1831	12	NA	NA	NA	month	1.1	
1832	6	NA	NA	NA	month	NA	
1832	7	NA	NA	NA	month	NA	
1832	8	NA	NA	NA	month	18.6	
1832	9	NA	NA	NA	month	NA	
1832	10	NA	NA	NA	month	NA	
1832	11	NA	NA	NA	month	NA	
1832	12	NA	NA	NA	month	NA	
1833	1	NA	NA	NA	month	NA	
1833	2	NA	NA	NA	month	NA	
1833	3	NA	NA	NA	month	NA	
1833	4	NA	NA	NA	month	NA	
1833	5	NA	NA	NA	month	NA	
1833	6	NA	NA	NA	month	NA	
1833	7	NA	NA	NA	month	NA	
1833	8	NA	NA	NA	month	NA	
1833	12	NA	NA	NA	month	NA	
1834	5	NA	NA	NA	month	NA	
1834	7	NA	NA	NA	month	NA	
1834	8	NA	NA	NA	month	NA	
1834	9	NA	NA	NA	month	NA	
1834	10	NA	NA	NA	month	NA	
1834	11	NA	NA	NA	month	NA	
