SEF	1.0.0
ID	Bueren
Name	Büren an der Aare
Lat	47.139749
Lon	7.374165
Alt	440
Source	GCOS
Link	
Vbl	ta
Stat	mean
Units	C
Meta	Observer=Studer|QC software=dataresqc v1.1.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1790	4	NA	NA	NA	month	8.7	
1790	5	NA	NA	NA	month	14.8	
1790	6	NA	NA	NA	month	18.2	
1790	7	NA	NA	NA	month	17.4	
1790	8	NA	NA	NA	month	18.7	
1790	9	NA	NA	NA	month	13.1	
1790	10	NA	NA	NA	month	11.2	
1790	11	NA	NA	NA	month	4.6	
1790	12	NA	NA	NA	month	0.9	
1791	1	NA	NA	NA	month	2.1	
1791	2	NA	NA	NA	month	0.5	
1791	3	NA	NA	NA	month	4.1	
1791	4	NA	NA	NA	month	11.8	
1791	5	NA	NA	NA	month	13.7	
1791	6	NA	NA	NA	month	17.4	
1791	7	NA	NA	NA	month	18.8	
1791	8	NA	NA	NA	month	19.1	
1791	9	NA	NA	NA	month	14	
1791	10	NA	NA	NA	month	9	
1791	11	NA	NA	NA	month	1.8	
1791	12	NA	NA	NA	month	1.8	
1792	1	NA	NA	NA	month	-0.3	
1792	2	NA	NA	NA	month	0.7	
1792	3	NA	NA	NA	month	5.6	
1792	4	NA	NA	NA	month	10.6	
1792	5	NA	NA	NA	month	12.9	
1792	6	NA	NA	NA	month	17.5	
1792	7	NA	NA	NA	month	19.2	
1792	8	NA	NA	NA	month	18.9	
1792	9	NA	NA	NA	month	13.3	
1792	10	NA	NA	NA	month	10.5	
1792	11	NA	NA	NA	month	4.1	
1792	12	NA	NA	NA	month	1.9	
1793	1	NA	NA	NA	month	-1.8	
1793	2	NA	NA	NA	month	2.2	
1793	3	NA	NA	NA	month	5.1	
1793	4	NA	NA	NA	month	NA	
1793	5	NA	NA	NA	month	12.8	
1793	6	NA	NA	NA	month	16.8	
1793	7	NA	NA	NA	month	21.5	
1793	8	NA	NA	NA	month	20.2	
1793	9	NA	NA	NA	month	13.9	
1793	10	NA	NA	NA	month	10.6	
1793	11	NA	NA	NA	month	4.2	
1793	12	NA	NA	NA	month	1.7	
1794	1	NA	NA	NA	month	-0.2	
1794	2	NA	NA	NA	month	4.5	
1794	3	NA	NA	NA	month	7.3	
1794	4	NA	NA	NA	month	12.1	
1794	5	NA	NA	NA	month	13.8	
1794	6	NA	NA	NA	month	18	
1794	7	NA	NA	NA	month	22.1	
1794	8	NA	NA	NA	month	17.7	
1794	9	NA	NA	NA	month	12.8	
1794	10	NA	NA	NA	month	9.1	
1794	11	NA	NA	NA	month	5.2	
1794	12	NA	NA	NA	month	-1.7	
1795	1	NA	NA	NA	month	-5.7	
1795	2	NA	NA	NA	month	1.7	
1795	3	NA	NA	NA	month	4.2	
1795	4	NA	NA	NA	month	11.3	
1795	5	NA	NA	NA	month	15.3	
1795	6	NA	NA	NA	month	17.9	
1795	7	NA	NA	NA	month	17.3	
1795	8	NA	NA	NA	month	19.1	
1795	9	NA	NA	NA	month	16	
1795	10	NA	NA	NA	month	12	
1795	11	NA	NA	NA	month	2.6	
1795	12	NA	NA	NA	month	2.6	
1796	1	NA	NA	NA	month	1.5	
1796	2	NA	NA	NA	month	2.1	
1796	3	NA	NA	NA	month	1.8	
1796	4	NA	NA	NA	month	9	
1796	5	NA	NA	NA	month	13.9	
1796	6	NA	NA	NA	month	NA	
1796	7	NA	NA	NA	month	18.8	
1796	8	NA	NA	NA	month	18.7	
1796	9	NA	NA	NA	month	16.3	
1796	10	NA	NA	NA	month	9.3	
1796	12	NA	NA	NA	month	-1.7	
1797	1	NA	NA	NA	month	NA	
