SEF	1.0.0
ID	Genthod
Name	Genthod
Lat	46.2593
Lon	6.15332
Alt	410
Source	GCOS
Link	NA
Vbl	ta
Stat	mean
Units	C
Meta	Observer=Maurice | Address=Maison Maurice
Year	Month	Day	Hour	Minute	Period	Value	Meta
1789	2	NA	NA	NA	month	1.5	
1789	3	NA	NA	NA	month	0.4	
1789	4	NA	NA	NA	month	10	
1789	6	NA	NA	NA	month	14	
1789	7	NA	NA	NA	month	17.2	
1789	8	NA	NA	NA	month	17.8	
1789	9	NA	NA	NA	month	13.5	
1789	10	NA	NA	NA	month	8.6	
1789	11	NA	NA	NA	month	2.3	
1789	12	NA	NA	NA	month	0.5	
1790	1	NA	NA	NA	month	-0.7	
1790	2	NA	NA	NA	month	1.7	
1790	3	NA	NA	NA	month	4.8	
1790	4	NA	NA	NA	month	7.4	
1790	5	NA	NA	NA	month	13.9	
1790	6	NA	NA	NA	month	17.5	
1790	7	NA	NA	NA	month	17.3	
1790	8	NA	NA	NA	month	18.4	
1790	9	NA	NA	NA	month	13.3	
1790	10	NA	NA	NA	month	11.3	
1790	11	NA	NA	NA	month	5.4	
1790	12	NA	NA	NA	month	1.2	
1791	1	NA	NA	NA	month	1.8	
1791	2	NA	NA	NA	month	0.4	
1791	3	NA	NA	NA	month	4.5	
1791	4	NA	NA	NA	month	11.5	
1791	5	NA	NA	NA	month	13.4	
1791	6	NA	NA	NA	month	17.1	
1791	7	NA	NA	NA	month	18.5	
1791	8	NA	NA	NA	month	20	
1791	9	NA	NA	NA	month	15.4	
1791	10	NA	NA	NA	month	10.1	
1791	11	NA	NA	NA	month	2.6	
1791	12	NA	NA	NA	month	1.8	
1793	1	NA	NA	NA	month	-1.7	
1793	2	NA	NA	NA	month	2.2	
1793	3	NA	NA	NA	month	5.1	
1793	4	NA	NA	NA	month	7.9	
1793	5	NA	NA	NA	month	12.2	
1793	6	NA	NA	NA	month	16.3	
1793	7	NA	NA	NA	month	21.5	
1793	8	NA	NA	NA	month	20.6	
1793	9	NA	NA	NA	month	14.1	
1793	10	NA	NA	NA	month	10.8	
1793	11	NA	NA	NA	month	5	
1793	12	NA	NA	NA	month	2.5	
1794	1	NA	NA	NA	month	-0.3	
1794	2	NA	NA	NA	month	4.3	
1794	3	NA	NA	NA	month	7.2	
1794	4	NA	NA	NA	month	11.9	
1794	5	NA	NA	NA	month	13	
1794	6	NA	NA	NA	month	17.5	
1794	7	NA	NA	NA	month	22.1	
1794	12	NA	NA	NA	month	NA	
1795	1	NA	NA	NA	month	-5.9	
1795	2	NA	NA	NA	month	1.5	
1795	3	NA	NA	NA	month	3.7	
1795	4	NA	NA	NA	month	10.8	
1795	5	NA	NA	NA	month	15.5	
1795	6	NA	NA	NA	month	17.1	
1795	7	NA	NA	NA	month	16.6	
1795	8	NA	NA	NA	month	18.9	
1795	9	NA	NA	NA	month	16.4	
1795	10	NA	NA	NA	month	12.5	
1795	11	NA	NA	NA	month	3.6	
1795	12	NA	NA	NA	month	2.7	
